unity_time;FPS
75.300;115.31
75.400;106.75
75.500;99.64
75.600;96.49
75.700;111.58
75.800;116.04
75.900;113.79
76.000;106.90
76.100;86.51
76.200;95.67
76.300;109.62
76.400;111.74
76.500;112.09
76.600;114.11
76.700;117.86
76.800;120.88
76.900;102.39
77.000;108.07
77.100;99.84
77.200;101.13
77.300;108.69
77.400;110.05
77.500;110.31
77.600;115.18
77.700;114.72
77.800;116.67
77.900;115.50
78.000;113.43
78.100;111.34
78.200;115.30
78.300;111.69
78.400;118.31
78.500;117.20
78.600;121.15
78.700;118.03
78.800;111.05
78.900;111.04
79.000;110.69
79.100;113.44
79.200;119.23
79.300;113.62
79.400;116.43
79.500;110.59
79.600;104.08
79.700;96.71
79.800;94.62
79.900;110.26
80.000;109.53
80.100;115.16
80.200;121.27
80.300;117.99
80.400;103.14
80.500;107.29
80.600;110.71
80.700;117.06
80.800;114.95
80.900;112.20
81.000;106.39
81.100;108.53
81.200;109.22
81.300;111.75
81.400;112.12
81.500;115.21
81.600;98.88
81.700;93.59
81.800;96.16
81.900;97.73
82.000;100.68
82.100;102.08
82.200;100.38
82.300;94.66
82.400;93.42
82.500;91.08
82.600;88.30
82.700;75.31
82.800;79.26
82.900;73.00
83.000;80.81
83.100;79.49
83.200;84.91
83.300;84.75
83.400;83.52
83.500;79.84
83.600;73.83
83.700;78.46
83.800;79.81
83.900;79.35
84.000;80.49
84.100;74.41
84.200;78.26
84.300;75.85
84.400;76.38
84.500;79.75
84.600;80.60
84.700;82.57
84.800;80.96
84.900;78.28
85.000;80.55
85.100;77.44
85.200;75.42
85.300;75.78
85.400;77.02
85.500;74.96
85.600;81.95
85.700;81.92
85.800;83.57
85.900;83.09
86.000;76.70
86.100;80.31
86.200;83.90
86.300;83.63
86.400;86.45
86.500;83.90
86.600;81.78
86.700;70.67
86.800;71.38
86.900;67.22
87.000;70.04
87.100;74.48
87.200;72.28
87.300;69.09
87.400;66.62
87.500;65.87
87.600;65.56
87.700;64.04
87.800;64.81
87.900;62.93
88.000;61.99
88.100;63.24
88.200;67.79
88.300;73.79
88.400;74.48
88.500;73.24
88.600;75.32
88.700;74.11
88.800;74.29
88.900;75.16
89.000;66.40
89.100;66.62
89.200;73.06
89.300;70.83
89.400;66.98
89.500;65.68
89.600;68.13
89.700;65.20
89.800;68.11
89.900;66.96
90.000;70.97
90.100;67.76
90.200;73.32
90.300;74.69
90.400;63.74
90.500;69.49
90.600;68.77
90.700;66.08
90.800;70.45
90.900;66.26
91.000;61.15
91.100;53.39
91.200;50.93
91.300;45.44
91.400;47.48
91.500;49.52
91.600;63.70
91.700;78.40
91.800;86.15
91.900;83.28
92.000;74.00
92.100;70.34
92.200;69.94
92.300;69.46
92.400;69.77
92.500;68.61
92.600;63.46
92.700;61.81
92.800;62.57
92.900;59.61
93.000;60.67
93.100;57.90
93.200;55.84
93.300;60.75
